	Molecule
287	Cc1n[nH]c(C)c1CCC(=O)N1CCN(CC1)C(c1ccc(F)cc1)c1ccc(F)cc1
288	CC[NH+]1CCC[C@H]1CNC(=O)Cc1csc(n1)-n1cccc1
289	COc1ccc(CN2C(O)=N[C@H](CC(=O)Nc3ccc4n(C)c(nc4c3)C(C)C)C2=O)cc1
290	COc1ccc(CN2C(O)=N[C@@H](CC(=O)Nc3ccc4n(C)c(nc4c3)C(C)C)C2=O)cc1
291	COc1ccc(nn1)N1CCC(CC1)C(=O)NCCc1c[nH]c2ccccc12
292	Clc1ccc(cc1)[C@@H](CC(=O)NCCc1nc2ccccc2[nH]1)Cn1cnnn1
293	COc1ccc(cc1)-c1cc(nc2c3cccnc3nn12)C([O-])=O
294	COCCn1ccc2c(NC(=O)CNC(=O)c3cccnc3)cccc12
295	OC1=Nc2ccc(NC(=O)c3ccc(cc3)-c3ccccc3)cc2C(=O)N2CCC[C@H]12
296	CCn1nc(C)c(c1C)-c1cc(n[nH]1)C(=O)N1CCC(O)(CC1)c1ccc(Cl)cc1
297	COC(=O)c1[nH]\c(=N\C(=O)c2ccccc2-n2nnnc2C)sc1CC(C)C
298	COC(=O)C[C@@H](c1ccc(OC)cc1F)c1oc(C)cc(=O)c1O
299	COC(=O)C[C@H](c1ccc(OC)cc1F)c1oc(C)cc(=O)c1O
300	CC(C)CNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2cc(Br)ccc12
301	Cc1ccc(o1)[C@@H]1CC(=O)Oc2cc(C)[nH]c(=O)c12
302	Cc1ccc(o1)[C@H]1CC(=O)Oc2cc(C)[nH]c(=O)c12
303	COc1ccc2cc(NC(=O)COc3c[nH]c(C)cc3=O)cnc2c1
304	COc1ccc(nn1)N1CCC(CC1)C(=O)Nc1ccc(F)c(Cl)c1
305	CC1(C)C[C@@H](CCO1)NC(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2cccc(F)c12
306	CC1(C)C[C@H](CCO1)NC(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2cccc(F)c12
307	O=C(NCCc1ccco1)C1CCN(CC1)c1ncnc2[nH]cnc12
308	COCc1nnc(NC(=O)[C@H]2CCCN(C2)c2ccc(OC)nn2)s1
309	CC(C)Cc1nc2nccc(-c3cc4ccccc4o3)n2n1
310	CC(=O)c1cn(CCC(=O)NCc2c(C)nn(C)c2C)c2ccccc12
311	Cn1c(C[NH+]2CCCCC2)cc(=O)c(O)c1CN1CC[NH+](CC1)C1CCOCC1
312	COc1ccc(cc1)N(Cc1n[nH]c(=O)[nH]1)C(=O)[C@@H]1CCOC(C)(C)C1
313	Brc1ccc2c(NC(=O)c3[nH]nc4CCCCc34)n[nH]c2c1
314	COc1cc(cc(OC)c1OC)-c1nnc(NC(=O)[C@H]2CN(C)C(=O)C2)s1
315	COc1cc(cc(OC)c1OC)-c1nnc(NC(=O)[C@@H]2CN(C)C(=O)C2)s1
316	CC1(C)C[C@H](CCO1)NC(=O)Cn1nc(ccc1=O)-c1cccc2ccccc12
317	Clc1ccc(cc1)[C@H](CC(=O)Nc1ccccn1)Cn1cccc1
318	CC(C)c1s\c(=N\C(=O)CCC(=O)Nc2ccc(Cn3cncn3)cc2)[nH]c1C([O-])=O
319	CN1c2cccnc2Oc2ccc(NC(=O)c3c(C)cc(C)n(C)c3=O)cc2C1=O
320	CC(C)OCCCNC(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2cc(Br)ccc12
321	COC(=O)C[C@H](c1c(C)[nH]nc1O)c1c(C)nn(C)c1C
322	C(Cc1nc2nccc(-c3ccncc3)n2n1)C1CCCC1
323	COc1ccc(NC(=O)c2ccc3[nH]ccc3c2)cn1
324	CN(C)S(=O)(=O)N1CCN(CC1)C(=O)c1cccc(Nc2ncccn2)c1
325	Cc1cc(on1)-c1nn2c(nnc2s1)-c1ccsc1
326	Cc1cc(-c2nnc3sc(nn23)C(F)(F)F)n(C)n1
327	C[C@@H](NC(=O)Cn1ccc2ccc(F)cc12)c1nnc2ccccn12
328	CS(=O)(=O)N1CCN(CC1)C(=O)CC1(CCCCC1)n1cccc1
329	O=C(Nc1cccc2[nH]ccc12)c1cccc(c1)-n1cnnn1
330	OC1(CCN(CC1)C(=O)C[C@@H](Cn1cnnn1)c1ccc(Cl)cc1)c1ccc(Cl)cc1
331	OC1(CCN(CC1)C(=O)C[C@H](Cn1cnnn1)c1ccc(Cl)cc1)c1ccc(Cl)cc1
332	Cc1cc(C)nc(NCCC(=O)N2CCN(CC2)c2cccc[nH+]2)n1
333	COC(=O)C[C@@H](c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)c1oc(C)cc(=O)c1[O-]
334	COc1ccc(cc1)N1CCN(CC1)C(=O)c1cc([nH]n1)-c1c(C)nn(C)c1C
335	CC(C)c1nc(NC(=O)c2cc([nH]n2)-c2ccccc2)n[nH]1
336	CC(C)(C)OC(=O)N1CCN(CC1)C(=O)CC[C@@H]1NC(=O)c2ccccc2N=C1O
337	COc1ccc(nn1)N1CCC[C@@H](C1)C(=O)NCCCOC(C)C
338	O=C(CCNc1ncccn1)Nc1nc(CCc2ccccc2)n[nH]1
339	c1nc2nccc(-c3cc4ccccc4o3)n2n1
340	COc1cc2CC(=O)N(Cc3cccc(c3)C(F)(F)F)C=Cc2cc1OC
341	Cc1nc2ncccc2c(=O)n1CCNC(=O)c1ccncc1
342	CC(C)c1n[nH]c(NC(=O)CCc2c(C)n[nH]c2C)n1
343	CCOC(=O)c1[nH]c(C)c(C(=O)Nc2nc(cs2)-c2cccs2)c1C
344	Cn1ccc2c(NC(=O)C3CCC(CNC(=O)OC(C)(C)C)CC3)cccc12
345	COCCn1cc(CC(=O)NC2CCCCCC2)c2ccccc12
346	C[C@@H](C(=O)Nc1ccc2[nH]cnc2c1)n1nnc2ccccc2c1=O
347	C[C@H](C(=O)Nc1ccc2[nH]cnc2c1)n1nnc2ccccc2c1=O
348	CC(C)Cn1cnc2ccc(NC(=O)CCCn3cnc4ccccc4c3=O)cc2c1=O
349	CC(C)c1sc(Cl)nc1C(=O)Nc1nnc(s1)C1CCC1
350	Cc1nc2ccc(F)cc2c(=O)n1CC(=O)N1CCn2c(C1)nnc2C(F)(F)F
351	C[C@H](C(=O)Nc1ccn(C)n1)n1nnc2ccccc2c1=O
352	Cc1cc(=O)c(OCC(=O)Nc2ccc3cc[nH]c3c2)c[nH]1
353	COc1ccc(cc1)-c1cnn2c(ccnc12)-c1ccc(OC)cc1O
354	Cc1cc(=O)c(OCC(=O)Nc2ccc3n(C)c(CCc4ccccc4)nc3c2)c[nH]1
355	COCCn1ccc2ccc(cc12)C(=O)Nc1nc(Cc2ccc(OC)cc2)n[nH]1
356	COc1ccc(nn1)N1CCC(CC1)C(=O)Nc1ccc(Cl)cc1
357	Cc1cc(=O)c(OCC(=O)Nc2nc3ccccc3s2)c[nH]1
358	Cc1nn(C)c(C)c1[C@H](CC([O-])=O)c1c([O-])cc(C)[nH]c1=O
359	Cc1nn(C)c(C)c1[C@@H](CC([O-])=O)c1c([O-])cc(C)[nH]c1=O
360	Fc1ccc2ccn(CCNC(=O)Cc3ccc4CCOc4c3)c2c1
361	COc1ccc(nn1)N1CCC[C@H](C1)C(=O)Nc1ccc(Cl)cc1
362	COC(=O)c1[nH]\c(=N\C(=O)c2cccc3n(C)ccc23)sc1C(C)C
363	COc1cc2CC(=O)N(CC(=O)OC(C)C)C=Cc2cc1OC
364	Cc1ncc(CNCc2cccnc2)c2cc(oc12)C(=O)c1ccc(Br)cc1
365	CC(C)Cc1nc(NC(=O)c2cc([nH]n2)-c2c(C)nn(C)c2C)n[nH]1
366	O=C([C@@H]1CCCN(C1)c1ccc2nnnn2n1)N1CCCC1
367	COCCn1cc(C(=O)Nc2ccc(Cn3cncn3)cc2)c2ccccc12
368	COCCNC(=O)c1cn(-c2cc(F)c(F)c(F)c2)c(=O)c2ccccc12
369	COc1ccc(cc1)-c1nn2c(ccnc2c1C)-c1ccncc1
370	COC(=O)C[C@H](c1ccc(Br)s1)c1oc(C)cc(=O)c1O
371	Cc1nn(C)c(C)c1-c1nnc2sc(nn12)-c1c(Br)cnn1C
372	COc1ccc(nn1)N1CCC(CC1)C(=O)N1CCN(CC1)c1cccc(Cl)c1
373	Cc1nc2ncccc2c(=O)n1CCNC(=O)c1ccccc1
374	Cc1cc(=O)c(OCC(=O)N2CCn3c(C2)nnc3C(F)(F)F)c[nH]1
375	Clc1ccc(C(=O)NCCCc2nnc3ccccn23)c(c1)-n1cnnn1
376	COc1cc(cc(OC)c1OC)-n1cc(C(=O)Nc2ccncc2)c2ccccc2c1=O
377	Oc1nn(C2CCCCC2)c2nc3c4ccc(O)cc4oc3c(-c3cc4cccc5CCCn(c45)c3=O)c12
378	O=C(NCc1cccnc1)[C@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
379	O=C(NCc1cccnc1)[C@@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
380	COc1ccc(nn1)N1CCC[C@H](C1)C(=O)Nc1ccc2[nH]ccc2c1
381	CC(C)c1nc2cc(NC(=O)COc3c[nH]c(C)cc3=O)ccc2n1C
382	CC(C)n1cc(CCCC(=O)Nc2nc(n[nH]2)[C@@H]2CCCO2)c2ccccc12
383	O=C(NCCCc1nnc2ccccn12)c1[nH]nc2CCCCc12
384	COC(=O)C[C@@H](c1cccnc1)c1oc(CSc2ccccc2)cc(=O)c1O
385	CC(C)Cc1n[nH]c(NC(=O)[C@H]2CN(C(=O)C2)c2n[nH]c3cccc(F)c23)n1
386	CC(C)Cc1n[nH]c(NC(=O)[C@@H]2CN(C(=O)C2)c2n[nH]c3cccc(F)c23)n1
387	COCc1nc2nccc(-c3ccc(OC)cc3F)n2n1
388	CCOC(=O)c1[nH]c(C)c(C(=O)Nc2nc(n[nH]2)C2CC2)c1C
389	COC(=O)c1[nH]\c(=N/C(=O)[C@@H](C)n2nnc3ccccc3c2=O)sc1-c1ccccc1
390	Cc1nnnn1-c1ccccc1C(=O)Nc1cccc2n(C)ccc12
391	Cc1cc(C)nc(NCCCC(=O)Nc2cccc3n(C)ccc23)n1
392	Cn1nc(C(=O)NCCn2ccc3ccccc23)c2ccccc2c1=O
393	CC[NH+]1CCC[C@@H]1CNC(=O)c1cccc2n(CCOC)ccc12
394	Clc1ccc(cc1)[C@@H](CC(=O)NCCc1ccccn1)Cn1cnnn1
395	Clc1ccc(cc1)[C@H](CC(=O)NCCc1ccccn1)Cn1cnnn1
396	OC1=N[C@@H](CC(=O)NCCN2CCOCC2)C(=O)N1CCc1ccccc1
397	CC(C)[C@H](C(=O)NCc1nnc2ccccn12)n1nnc2ccccc2c1=O
398	O=C(CCCC(=O)N1CCN(CC1)c1cccc[nH+]1)NCc1cccnc1
399	Cc1n[nH]c(c1CC(=O)NCCc1nccs1)-c1ccc(F)cc1
400	Cc1cc2OC(=O)C[C@H](c3cccc(OCc4ccccn4)c3)c2c(=O)[nH]1
401	Cc1cc(=O)c(OCC(=O)N2CCN(CC2)c2cccc[nH+]2)c[nH]1
402	O=C(Cc1n[nH]c(=O)c2ccccc12)NCc1nc2ccccc2[nH]1
403	COC(=O)C[C@H](c1ccnn1C)c1oc(C)cc(=O)c1O
404	Cc1cc2OC(=O)C[C@@H](c3ccnn3C)c2c(=O)[nH]1
405	Cc1cc2OC(=O)C[C@H](c3ccnn3C)c2c(=O)[nH]1
406	CC(C)c1sc(Cl)nc1C(=O)NCC1CCOCC1
407	OC1=N[C@H](CC(=O)Nc2nccs2)C(=O)N1CCc1ccccc1
408	CC(C)c1nn2c(nnc2s1)-c1snnc1C
409	Cc1ccc2n(CC(=O)Nc3cccc4[nH]ccc34)ccc2c1
410	COc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)c1ccc(Cl)cc1-n1cnnn1
411	COCCn1ccc2cc(ccc12)C(=O)N1CCC(O)(CC1)c1ccc(Cl)cc1
412	COc1ccc(Cc2n[nH]c(NC(=O)[C@H]3CN(Cc4ccccc4)C(=O)C3)n2)cc1
413	CCOC(=O)C1=C([O-])NC(=[NH+][C@@H]1c1ccc(OC)c(OC)c1)N1CCOCC1
414	Cc1cc(on1)-c1nn2c(nnc2s1)-c1cc(Cl)cc(Cl)c1
415	O=C(Cn1cnc2sccc2c1=O)N1CC[NH+](CCc2ccccn2)CC1
416	COCCn1c(cc2ccccc12)C(=O)NCCc1nc2ccccc2n1C(C)C
417	CC(C)n1ccc2c(cccc12)C(=O)N=c1[nH]cc[nH]1
418	COc1cc(ccc1OC(F)F)[C@H]1CC(=O)Oc2cc(C)[nH]c(=O)c12
419	Cc1nc2c3ccc(Br)cc3nn2c(C)c1CC(=O)NCCc1ccccn1
420	O=C(NCCCc1nnc2ccccn12)[C@H](c1ccccc1)n1cnnn1
421	Clc1cccc2n(CCC(=O)\N=c3/[nH]nc([nH]3)[C@H]3CCCO3)ccc12
422	CC[NH+]1CCC[C@H]1CNC(=O)c1ccc(Cl)c(c1)N1CCCCS1(=O)=O
423	CN1c2cccnc2Oc2ccc(NC(=O)c3ccc4OCOc4c3)cc2C1=O
424	COc1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)Nc1cccc2[nH]ccc12
425	CC(C)(C)C1CCC(CC(=O)N2CCn3c(C2)nnc3C(F)(F)F)(CC1)n1cccc1
426	OC1=N[C@H](CC(=O)NCc2ccncc2)C(=O)N1CCc1ccccc1
427	OC1=N[C@H](CC(=O)Nc2nc3CCCc3s2)C(=O)N1CCc1ccccc1
428	CC(C)c1sc(Cl)nc1C(=O)Nc1ccccc1O
429	COc1ccc([C@@H]2CCCN2C(=O)CCCNc2ncccn2)c2ccccc12
430	COc1ccc([C@H]2CCCN2C(=O)CCCNc2ncccn2)c2ccccc12
431	COc1ccc(cc1OC)-c1cc(n[nH]1)C(=O)NCCc1nc2ccccc2n1C(C)C
432	Fc1ccc(Cc2n[nH]c(NC(=O)Cc3ccc4OCCCOc4c3)n2)cc1
433	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)NC[C@H]1CCCO1
434	Cc1n[nH]c(c1CC(=O)NCCc1ccncc1)-c1ccc(Cl)cc1
435	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)N1CCN(Cc2ccccc2)CC1
436	Clc1ccc2[nH]cc(CCNC(=O)CCn3ccc4ccc(Cl)cc34)c2c1
437	Cc1noc(C)c1C(=O)N1CCC(O)(CC1)c1ccc(Cl)cc1
438	Fc1cccc2[nH]nc(N3C[C@@H](CC3=O)C(=O)Nc3nccs3)c12
439	CC(C)Cc1n[nH]c(NC(=O)CCc2c(C)noc2C)n1
440	Brc1cccc2n(CC(=O)NCc3nnc4ccccn34)ccc12
441	CC(C)n1ccc2c(NC(=O)CCn3nnc4ccccc4c3=O)cccc12
442	COC(=O)Cc1c(C)c2ccc(O)c(CN3CCN(CC3)c3ccc(Cl)cc3)c2oc1=O
443	COC(=O)C[C@H](c1c(C)[nH]nc1O)c1cc2ccccc2[nH]c1=O
444	CC1(C)CC(CC(C)(C)[NH2+]1)NC(=O)C[C@H]1N=C(O)N(CCc2ccccc2)C1=O
445	CC1(C)CC(CC(C)(C)[NH2+]1)NC(=O)C[C@@H]1N=C(O)N(CCc2ccccc2)C1=O
446	CC(C)c1sc(Cl)nc1C(=O)N=c1[nH]cc[nH]1
447	CC[NH+]1CCN(CC1)C(=O)c1cccc(c1)-n1nnnc1C
448	C[C@@H](NC(=O)c1sc2nc(C)[nH]c(=O)c2c1C)c1nnc2ccccn12
449	CC[NH+]1CCC[C@@H]1CNC(=O)c1ccc(cc1Cl)N1CCCCS1(=O)=O
450	CSc1nc(N2CCN(CCO)CC2)c2COC(C)(C)Cc2c1C#N
451	C[C@@H](N1Cc2ccccc2C1=O)C(=O)NCc1nnc2ccccn12
452	CN(C)S(=O)(=O)N1CCN(CC1)C(=O)c1ccc2nc(C)c(C)nc2c1
453	COC(=O)c1[nH]\c(=N\C(=O)Cc2n[nH]c(=O)c3ccccc23)sc1CC(C)C
454	CCOC(=O)N1CCN(CC1)C(=O)[C@@H]1[C@@H](N(C)C(=O)c2ccccc12)c1ccc(OC)c(OC)c1
455	Cn1cc(cn1)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCCC1
456	COc1ccc(OC)c(c1)[C@H]1C[C@@H](C)Nc2nc(CO)nn12
457	COCCn1ccc2cc(ccc12)C(=O)N[C@H](C)c1nnc2ccccn12
458	CC(C)[C@H](N1Cc2ccccc2C1=O)C(=O)NCCCCCc1nnc2ccccn12
459	COCCn1ccc2c(NC(=O)[C@H](C)n3nnc4ccccc4c3=O)cccc12
460	Clc1ccc(cc1)-c1cc(n[nH]1)C(=O)NCCCc1nnc2ccccn12
461	COc1ccc(CCN2C(O)=N[C@H](CCC(=O)N3CCOCC3)C2=O)cc1OC
462	CC[C@H](C)N1C(=O)c2ccccc2[C@@H](C(=O)Nc2ccccc2F)C11CCCC1
463	NC(=O)c1ccc(NC(=O)[C@H]2CN(C(=O)C2)c2n[nH]c3ccccc23)cc1
464	COC(=O)c1[nH]\c(=N\C(=O)[C@@H](c2ccccc2)n2cnnn2)sc1-c1ccccc1
465	COc1cn(CC(=O)NC2CC2)c(C[NH+]2CCc3ccccc3C2)cc1=O
466	CC(C)c1sc(Cl)nc1C(=O)Nc1ccc2n(C)cnc2c1
467	COc1cn(CC(=O)Nc2cc(F)c(F)c(F)c2)c(C)cc1=O
468	COc1cn(CC(=O)N2CCOCC2)c(C[NH+]2CCc3ccccc3C2)cc1=O
469	CC(C)Cc1n[nH]c(NC(=O)c2cc(nn2C)-c2cccs2)n1
470	Clc1ccc2ccn(CCNC(=O)COc3ccccc3-n3cnnc3)c2c1
471	COCCn1c(cc2cc(Cl)ccc12)C(=O)Nc1cnn(C)c1
472	Cc1nn(C)c(C)c1CNC(=O)Cn1ccc2c(Br)cccc12
473	COC(=O)[C@@H](NC(=O)Cn1c(C)nc2ccc(F)cc2c1=O)C(C)C
474	O[C@@]12CCCC[C@@H]1CN(CC2)C(=O)[C@H](c1ccccc1)n1cnnn1
475	O[C@]12CCCC[C@@H]1CN(CC2)C(=O)[C@H](c1ccccc1)n1cnnn1
476	O[C@]12CCCC[C@@H]1CN(CC2)C(=O)[C@@H](c1ccccc1)n1cnnn1
477	CN(C)S(=O)(=O)N1CCN(CC1)C(=O)COc1cn(C)c(C)cc1=O
478	COc1ccc(CCc2n[nH]c(NC(=O)Cn3nc4CCCCCc4cc3=O)n2)cc1
479	Cc1cc(NC(=O)CCNc2ncccn2)nn1C
480	Cc1n[nH]c(c1CC(=O)NCCc1ccco1)-c1ccc(Cl)cc1
481	OC1=Nc2ccccc2C(=O)N[C@@H]1CC(=O)NCCc1nnc2ccccn12
482	OC1=Nc2ccccc2C(=O)N[C@H]1CC(=O)NCCc1nnc2ccccn12
483	COc1ccc(cc1)C(=O)CNC(=O)c1cc([nH]n1)-c1ccccn1
484	COC(=O)c1[nH]\c(=N\C(=O)c2cc(n[nH]2)-c2ccccc2OC)sc1CC(C)C
485	CC(=O)Nc1cccc(NC(=O)CCc2nnc3ccccn3c2=O)c1
486	COc1ccc(CCc2n[nH]c(NC(=O)c3cc(nn3C)-c3ccccc3Cl)n2)cc1
487	COC(=O)c1[nH]\c(=N/C(=O)c2cnn(c2C)-c2ccccc2)sc1-c1ccc(F)cc1
488	Cc1ncc(Cn2cnc(Cl)c2Cl)c2cc(oc12)C(=O)c1ccc(Br)cc1
489	COc1cc2CC(=O)N(CC(=O)Nc3nc(C)c(C)s3)C=Cc2cc1OC
490	Cc1cc(=O)c(OCC(=O)N2CCO[C@@H](C2)c2ccccc2)c[nH]1
491	Cc1cc(=O)c(OCC(=O)N2CCO[C@H](C2)c2ccccc2)c[nH]1
492	Cn1ncc(Cl)c1-c1nnc2sc(nn12)-c1ccc(Br)o1
493	CC1(C)C[C@](CC(=O)N2CCCCC2)(CCO1)c1ccc(Cl)cc1
494	CC1(C)C[C@@](CC(=O)N2CCCCC2)(CCO1)c1ccc(Cl)cc1
495	COC(=O)c1[nH]\c(=N\C(=O)c2n[nH]c3CCCCc23)sc1C(C)C
496	COc1ccc2n(CC(=O)Nc3n[nH]c4cccc(F)c34)ccc2c1
497	COC(=O)c1[nH]\c(=N/C(=O)Cn2cc(OC)c(=O)cc2C)sc1-c1ccccc1
498	COC(=O)C[C@@H](c1ccc(Br)cc1)c1oc(C)cc(=O)c1O
499	CC(C)Cc1nc(NC(=O)c2ccn3nnnc3c2)n[nH]1
500	Cc1n[nH]c(C)c1CCC(=O)Nc1ccc(Cn2cncn2)cc1
501	COc1ccc(CCc2n[nH]c(NC(=O)c3ccncc3)n2)cc1OC
502	COC(=O)C[C@@H](CC(C)C)c1oc(CSc2ccccc2)cc(=O)c1O
503	COc1ccc(N2C[C@H](CC2=O)C(=O)Nc2ccc3ncn(C)c(=O)c3c2)c(OC)c1
504	CS(=O)(=O)N1CCN(CC1)C(=O)[C@@H](c1ccccc1)n1cnnn1
505	COCCNC(=O)[C@@H]1CCCN(C1)c1ccc2nnnn2n1
506	Cc1n[nH]c(c1CC(=O)N[C@@H]1CCOC(C)(C)C1)-c1ccc(Cl)cc1
507	COC(=O)C[C@@H](c1cnn(c1)C(C)C)c1oc(C)cc(=O)c1O
508	COC(=O)C[C@H](c1cnn(c1)C(C)C)c1oc(C)cc(=O)c1O
509	OC1(CCN(CC1)C(=O)c1cc([nH]n1)-c1ccco1)c1ccc(Cl)cc1
510	[O-]c1nnc(cc1Cc1cccc(OC(F)F)c1)-c1ccccc1
511	COc1cc2CC(=O)N(CC(=O)Nc3ccc(F)c(F)c3F)C=Cc2cc1OC
512	Cc1nc(C(=O)Nc2cc(Cl)ccc2N2CCCC2=O)c(C)s1
513	Cn1nc(C(=O)NCCc2nnc3ccccn23)c2ccccc12
514	Cc1n[nH]c(C)c1CCC(=O)Nc1nc(cs1)-c1ccncc1
515	Cc1cc(on1)-c1nn2c(nnc2s1)C1CC1
516	CCOC(=O)Cc1csc(NC(=O)CC2(CCCCC2)n2cccc2)n1
517	COCCn1cc(C(=O)Nc2nc(n[nH]2)[C@@H]2CCCO2)c2ccccc12
518	Clc1ccc(cc1)[C@@H](CC(=O)Nc1ccc2[nH]ccc2c1)Cn1cccc1
519	COC(=O)CCNC(=O)c1c[nH]c2ccc(F)cc2c1=O
520	COC(=O)CCNC(=O)[C@H]1[C@H](N(C)C(=O)c2ccccc12)c1ccc(OC)cc1
521	COC(=O)CCNC(=O)[C@H]1[C@@H](N(C)C(=O)c2ccccc12)c1ccc(OC)cc1
522	COC(=O)CCNC(=O)[C@@H]1[C@@H](N(C)C(=O)c2ccccc12)c1ccc(OC)cc1
523	COc1ccc2n(cc(C(=O)Nc3cccc(NC(C)=O)c3)c2c1)C(C)C
524	Clc1ccc(cc1)[C@@H](CC(=O)NCCc1c[nH]c2ccccc12)Cn1cccc1
525	Clc1ccc(cc1)[C@H](CC(=O)NCCc1c[nH]c2ccccc12)Cn1cccc1
526	COC(=O)c1[nH]\c(=N\C(=O)c2cc(nn2C)-c2cccs2)sc1-c1cccc(F)c1
527	COc1ccc(Cc2n[nH]c(NC(=O)[C@H]3CN(C(=O)C3)c3ccc(OC)cc3)n2)cc1
528	COc1ccc(Cc2n[nH]c(NC(=O)[C@@H]3CN(C(=O)C3)c3ccc(OC)cc3)n2)cc1
529	COc1ccc(cc1)C(=O)CNC(=O)c1ccc2ccn(C(C)C)c2c1
530	CC(C)CNC(=O)Cn1nc(ccc1=O)N1CCC(Cc2ccccc2)CC1
531	O=C(CCCCCNc1ncccn1)Nc1cccc2ncccc12
532	COc1ccc(cc1)C(=O)CNC(=O)Cc1nn(CC(C)C)c(=O)c2ccccc12
533	COc1ccc(CCc2nc3nccc(-c4ccc(OC)c(OC)c4)n3n2)cc1OC
534	CSc1nc(N2CC[NH+](CCN3CCOCC3)CC2)c2COC(C)(C)Cc2c1C#N
535	CC1(C)C[C@@H](CCO1)C(=O)N(Cc1n[nH]c(=O)[nH]1)c1ccc(F)cc1
536	Cc1n[nH]c(c1CC(=O)N1CC[NH+](CCc2ccncc2)CC1)-c1ccc(F)cc1
537	Cc1cc(=O)c(OCC(=O)Nc2ccc3occc(=O)c3c2)cn1C
538	Brc1cccc2n(CCC(=O)NCc3nnc4ccccn34)ccc12
539	COC(=O)Cc1c(C)c2ccc(O)c(CN3CCn4c(C3)nnc4C(F)(F)F)c2oc1=O
540	COc1ccc2n(C)cc(C(=O)Nc3ccc(cc3)N3CCCS3(=O)=O)c2c1
541	Cn1c(CN2CCOCC2)cc(=O)c([O-])c1CN1CC[C@@H](C1)c1ccccc1
542	Cn1c(CN2CCOCC2)cc(=O)c([O-])c1CN1CC[C@H](C1)c1ccccc1
543	COC(=O)C[C@H](c1ccc(F)c(F)c1F)c1oc(C)cc(=O)c1O
544	Cc1nc2ccc(F)cc2c(=O)n1CC(=O)N1CCN(Cc2ccc3OCOc3c2)CC1
545	Fc1ccc(cc1)N1CCN(CC1)C(=O)C[C@@H](Cn1cnnn1)c1ccc(Cl)cc1
546	Fc1ccc(cc1)N1CCN(CC1)C(=O)C[C@H](Cn1cnnn1)c1ccc(Cl)cc1
547	CC(C)[C@H](C(=O)NC[C@@H]1CCCO1)n1nnc2ccccc2c1=O
548	CC(C)[C@@H](C(=O)NC[C@H]1CCCO1)n1nnc2ccccc2c1=O
549	O=C(NCc1cccnc1)[C@H]1c2ccccc2C(=O)N(C2CCCCC2)C11CCCC1
550	O=C(NCc1cccnc1)[C@@H]1c2ccccc2C(=O)N(C2CCCCC2)C11CCCC1
551	COC(=O)c1[nH]\c(=N\C(=O)c2cccc(c2)-n2nc(C)cc2C)sc1C
552	COc1ccc(cc1)C(=O)CNC(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
553	CC(C)n1c(CCNC(=O)CCNc2nc(C)cc(C)n2)nc2ccccc12
554	COc1ccc(CCNC(=O)[C@H]2CN(C(=O)C2)c2n[nH]c3ccccc23)cc1OC
555	COc1ccc(CCNC(=O)[C@@H]2CN(C(=O)C2)c2n[nH]c3ccccc23)cc1OC
556	COc1cc(ccc1O)-c1ccnc2c(cnn12)-c1ccccc1
557	CC(=O)N1CCN(CC1)C(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2cccc(F)c12
558	CC(=O)N1CCN(CC1)C(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2cccc(F)c12
559	Fc1ccc(cc1)S(=O)(=O)CCNC(=O)c1[nH]nc2CCCc12
560	Clc1ccc(cc1)[C@H](CC(=O)NCCc1ccncc1)Cn1cccc1
561	Fc1cccc2[nH]nc(N3C[C@H](CC3=O)C(=O)NC3CCCCCC3)c12
562	Clc1ccc(C(=O)Nc2ccc(Cn3cncn3)cc2)c(c1)-n1cnnn1
563	Oc1nn(C2CCCC2)c2nc3c4ccc(O)cc4oc3c(-c3ccco3)c12
564	CSc1nc(N2CC[NH+](CCc3ccccc3)CC2)c2COC(C)(C)Cc2c1C#N
565	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)NCCn1ccc2ccccc12
566	FC(F)(F)c1n[n-]c(NC(=O)COc2ccccc2-n2cnnc2)n1
567	CCOC(=O)c1cs\c(=N/C(=O)CC[C@H]2NC(=O)c3ccccc3N=C2O)[nH]1
568	Cc1nc2ccc(F)cc2c(=O)n1CC(=O)NCc1cccnc1
569	Cc1cc([O-])cc(=O)n1CCCC(=O)Nc1ccc(cc1)-n1cnnn1
570	COc1ccc(cc1OC)-c1cnn2c(ccnc12)-c1ccccn1
571	O=C(Cn1nnc2ccccc2c1=O)Nc1nc(n[nH]1)C1CC1
572	COc1ccc2n(CCNC(=O)Cc3ccc4CCOc4c3)ccc2c1
